0.1	1	39	3.4	0.710406563699301	4.9	0.375602871669773	3.1	3.2	3.4	2.6	3.4	33
0.1	1	39	3.4	0.710406563699301	4.9	0.375602871669773	3.2	2.7	2.2	2.3	3.3	33
0.1	1	39	3.4	0.710406563699301	4.9	0.375602871669773	3	1.6	4.4	1.5	1.6	53
0.1	1	39	3.4	0.710406563699301	4.9	0.375602871669773	4.6	3.8	0.9	5.2	4.1	69
0.1	1	39	3.4	0.710406563699301	4.9	0.375602871669773	1.3	3.9	3.3	1.3	3	18
0.1	1	39	3.4	0.710406563699301	4.9	0.375602871669773	1.5	3.5	3	2.6	4.2	37
0.1	1	39	3.4	0.710406563699301	4.9	0.375602871669773	3.2	3.8	2.1	3	1.3	41
0.1	1	39	3.4	0.710406563699301	4.9	0.375602871669773	4.7	2.1	2.7	2.5	4.4	43
-0.2	2	64	2.3	0.25688370915653	1.5	0.561876363549783	4.4	1.5	1.4	3.5	3.6	33
-0.2	2	64	2.3	0.25688370915653	1.5	0.561876363549783	4.2	1.7	2.9	3.5	1.2	50
-0.04	3	45	3	0.246691878462374	4.6	0.343917234128459	4.26	2.16	2.46	3.96	2.06	61
-0.04	3	45	3	0.246691878462374	4.6	0.343917234128459	2.96	2.76	2.96	3.36	2.76	50
0.01	4	69	4.8	0.347542599397733	3.3	0.0904966471392212	2.91	1.01	2.11	1.41	4.81	69
0.01	4	69	4.8	0.347542599397733	3.3	0.0904966471392212	2.81	5.41	3.21	2.81	4.81	32
0.01	4	69	4.8	0.347542599397733	3.3	0.0904966471392212	2.61	4.11	4.21	1.51	3.61	49
0.01	4	69	4.8	0.347542599397733	3.3	0.0904966471392212	1.61	3.41	4.01	1.61	1.31	29
0.01	4	69	4.8	0.347542599397733	3.3	0.0904966471392212	3.31	2.31	3.21	3.71	4.31	28
0.01	4	69	4.8	0.347542599397733	3.3	0.0904966471392212	3.41	2.21	1.11	3.61	2.91	57
0.01	4	69	4.8	0.347542599397733	3.3	0.0904966471392212	2.61	3.61	2.71	2.11	2.61	35
0.01	4	69	4.8	0.347542599397733	3.3	0.0904966471392212	3.91	1.91	2.01	3.91	2.21	25
0.01	4	69	4.8	0.347542599397733	3.3	0.0904966471392212	3.21	2.61	2.71	3.71	2.01	21
0.01	4	69	4.8	0.347542599397733	3.3	0.0904966471392212	1.61	3.71	2.51	2.81	2.71	68
-0.09	5	72	2.9	0.951618567265016	2.6	1.59850877114583	2.71	4.61	4.01	2.41	1.41	42
-0.09	5	72	2.9	0.951618567265016	2.6	1.59850877114583	4.11	2.41	1.91	4.51	2.41	59
-0.09	5	72	2.9	0.951618567265016	2.6	1.59850877114583	3.11	3.21	2.11	3.11	4.11	19
-0.09	5	72	2.9	0.951618567265016	2.6	1.59850877114583	3.71	1.71	2.21	2.91	3.71	29
-0.09	5	72	2.9	0.951618567265016	2.6	1.59850877114583	2.41	3.21	1.41	3.21	3.31	66
-0.09	5	72	2.9	0.951618567265016	2.6	1.59850877114583	1.91	4.41	2.51	1.91	1.41	24
-0.09	5	72	2.9	0.951618567265016	2.6	1.59850877114583	2.91	2.61	4.71	3.81	3.11	70
0.03	6	27	4.6	0.0450277248089203	2.8	0.088565112138884	3.43	3.83	2.33	2.63	3.03	31
0.03	6	27	4.6	0.0450277248089203	2.8	0.088565112138884	5.03	3.53	3.03	2.93	3.33	71
